Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
1,2,Conceptual,B,4,S02,0.46,0.53,0.44,5,60,4,-0.027923755,0.000801282,0.0625,0.079861111,5.364721875
1,2,Conceptual,B,4,S03,0.69,0.35,0.58,1,68.75,4,-0.002475248,0.219553877,0,0.2,5.5881375
1,2,Conceptual,B,4,S04,0.41,0.34,0.48,4,60,3,0,0.123287671,0,0.185185185,4.6046
1,2,Conceptual,B,4,S05,0.71,0.38,0.63,3,68.75,3,0.041198502,0.246575342,-0.006535948,0.24537037,4.851
1,2,Conceptual,B,4,S06,0.7,0.47,0.65,5,67.5,1,0,0,0,0,0
1,2,Conceptual,B,4,S07,0.66,0.69,0.66,5,70,1,0,0,0,0,0
1,2,Conceptual,B,4,S08,0.69,0.61,0.5,1,73.75,4,0.233122363,0.037356322,0.309378468,0.125,6.88314375
1,2,Conceptual,B,4,S09,0.53,0.58,0.54,2,67.5,3,0.113727638,0.179487179,0.094017094,0.301587302,4.5948
1,2,Conceptual,B,4,S10,0.74,0.77,0.55,5,71.25,4,0.115270571,0.078947368,0,-0.0625,4.107473438
1,2,Conceptual,B,4,S11,0.5,0.6,0.56,5,65,4,0.059174143,0,0.008370135,0.200396825,4.9892025
1,2,Conceptual,B,4,S12,0.76,0.4,0.77,3,76.25,1,0,0,0,0,0
1,2,Conceptual,B,4,S13,0.78,0.79,0.49,3,78.75,5,0.175643101,0.111091697,0.073856209,0.166666667,6.5537964
1,2,Conceptual,B,4,S14,0.35,0.71,0.36,3,63.75,3,0.444753172,0.045454545,-0.024691358,0,4.176
1,2,Conceptual,B,4,S15,0.55,0.61,0.32,4,65,1,0,0,0,0,0
1,1,Raw,A,5,S01,0.45,0.41,0.54,4,62.5,6,0.0123218,0.013380225,0.02921189,0.033333333,7.985018735
1,1,Raw,A,5,S02,0.59,0.43,0.29,5,57.5,1,0,0,0,0,0
1,1,Raw,A,5,S03,0.22,0.43,0.22,2,60,3,0.035087719,0.025089606,0,0.194444444,8.4583
1,1,Raw,A,5,S04,0.29,0.35,0.45,8,52.5,4,0.010257211,0.02173913,-0.02163525,-0.003472222,7.18160625
1,1,Raw,A,5,S05,0.25,0.39,0.45,5,57.5,9,0.042673958,0.012765759,-0.000227566,0.009259259,6.122068614
